epochs,train_loss,train_acc,val_acc
1,3.135851036816773,0.1123715861743223,0.03712720632988436
2,2.2546697278080563,0.3142743880838717,0.10840603232569149
3,1.9631607832607527,0.39263845076837434,0.1343071616960844
4,1.615502947023184,0.4889256254111773,0.03509839724081964
5,1.4387024446844008,0.5408393920480423,0.06573341448569689
6,0.9491891595414974,0.6912501476020985,0.1140866977750727
7,0.8214961298041418,0.7302424048177325,0.03712720632988436
8,0.7289859749991702,0.7613484927717143,0.12964090079123555
9,0.6318624698058384,0.7951198529039658,0.03469263542300669
10,0.5472250500217917,0.8252222465882829,0.12544802867383512
