epochs,train_loss,train_acc,train_precision,train_recall,train_f1,val_acc,val_precision,val_recall,val_f1
1,2.175215115,0.34192237,0,0,0,0.49786975,0,0,0
2,0.637522285,0.793205243,0,0,0,0.698180835,0,0,0
3,0.39791507,0.873222449,0,0,0,0.739500913,0,0,0
4,0.295750959,0.904986421,0,0,0,0.785554879,0,0,0
5,0.227143233,0.926873703,0,0,0,0.788124704,0,0,0
6,0.115212988,0.963571802,0,0,0,0.815919389,0,0,0
7,0.072995927,0.976704172,0,0,0,0.817542436,0,0,0
8,0.049650805,0.98382281,0,0,0,0.79691621,0,0,0
9,0.035034604,0.988588249,0,0,0,0.797389599,0,0,0
10,0.027748221,0.9905619,0,0,0,0.802461622,0,0,0
